lang.id,lang.name,glottocode,lang.glog,group,latitude,longitude,compiler
itsari,Itsari Dargwa,icar1234,Southwestern Dargwa,Dargwa,41.998055,47.573334,"Rasul Mutalov, Oleg Belyaev"
zilo,Zilo Andi,zilo1238,Andi,Andic,42.731667,46.318611,George Moroz
avar,Avar,avar1256,Avar,Avar,42.55,46.75,Diana Forker
