Grapheme	IPA	Practical	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
п$	<?>		полоп, хъап	avar, itsari	5	U+043f U+0024
э	<?>		беэнаб, беэнлъи	avar	5	U+044d
e$	e		гордe, бечe	avar	5	U+0065 U+0024
шш	<?>		бябшшунци, машши	itsari	5	U+0448 U+0448
ее	ее		меебикӀвар, зееци	itsari	3	U+0435 U+0435
x$	x		ихx, чӀимихx	avar	3	U+0078 U+0024
тт$	тт		бергъуб рутт, рутт	itsari	3	U+0442 U+0442 U+0024
дд	<?>		р=еддо, веддон	zilo	3	U+0434 U+0434
^a	a		aхӀизе, aбизе	avar	3	U+005e U+0061
пп$	<?>		ккуккупп, дурупп	itsari	3	U+043f U+043f U+0024
^ю	<?>		юлдаш, юргъaн	avar, itsari	2	U+005e U+044e
^ъ	<?>		ъвен, ъуръул	zilo	2	U+005e U+044a
á	á		цӀцӀáлизе, хъазáхъ	avar	2	U+00e1
2$	<?>		гьу2, гьи2гьи2	zilo	2	U+0032 U+0024
ии$	<?>		рии	avar	1	U+0438 U+0438 U+0024
^у$	<?>		у	avar	1	U+005e U+0443 U+0024
^э$	<?>		э	itsari	1	U+005e U+044d U+0024
.	<?>		лъал.ъа	zilo	1	U+002e
і	<?>		ЦіцӀaдалхӀама	avar	1	U+0456
^а$	а		а-	itsari	1	U+005e U+0430 U+0024
^cc	cc		ccунтӀизе	avar	1	U+005e U+0063 U+0063
ы	<?>		кумыки джеди	zilo	1	U+044b
ии	<?>		кӀвиибци	itsari	1	U+0438 U+0438
^?	<?>		?гвангвара	zilo	1	U+005e U+003f
оо	<?>		чӀоогояб	avar	1	U+043e U+043e
рр	рр		къурру	zilo	1	U+0440 U+0440
яя	<?>		мяябикӀвар	itsari	1	U+044f U+044f
ý	ý		хxýрxхине	avar	1	U+00fd
é	é		кӀудияб гӀéзе	avar	1	U+00e9
^Ц	<?>		ЦіцӀaдалхӀама	avar	1	U+005e U+0426
ы$	<?>		гьунц1ы	zilo	1	U+044b U+0024
^#$	_		#	avar	1	U+005e U+0023 U+0024
чч$	<?>		къанчч	itsari	1	U+0447 U+0447 U+0024
