ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
itsari,Itsari Dargwa,icar1234,Icari,,,41.998055,47.573334,Nakh-Daghestanian
zilo,Zilo Andi,zilo1238,Zilo,,Eurasia,42.731667,46.318611,Nakh-Daghestanian
avar,Avar,avar1256,Avar,ava,Eurasia,42.55,46.75,Nakh-Daghestanian
