ID,Name,Concepticon_ID,Concepticon_Gloss,Russian_Gloss,Number
231_grasshopper,GRASSHOPPER,607,GRASSHOPPER,КУЗНЕЧИК,231
232_snail,SNAIL,1543,SNAIL,УЛИТКА,232
233_frog,FROG,503,FROG,ЛЯГУШКА,233
234_lizard,LIZARD,632,LIZARD,ЯЩЕРИЦА,234
235_moo,MOO,,MOO,МЫЧАТЬ,235
236_bleatsheep,BLEAT (SHEEP),,BLEAT (SHEEP),БЛЕЯТЬ (ОВЦА),236
237_bleatgoat,BLEAT (GOAT),,BLEAT (GOAT),БЛЕЯТЬ (КОЗА),237
238_neigh,NEIGH,,NEIGH,РЖАТЬ,238
239_heehaw,HEE-HAW,,HEE-HAW,КРИЧАТЬ (ОСЁЛ),239
240_meaow,MEAOW,,MEAOW,МЯУКАТЬ,240
241_barkv,BARK (V.),,BARK (V.),ЛАЯТЬ,241
242_roar,ROAR,,ROAR,РЫЧАТЬ,242
243_howl,HOWL,,HOWL,ВЫТЬ,243
244_crow,CROW,,CROW,КУКАРЕКАТЬ,244
245_buzz,BUZZ,,BUZZ,ЖУЖЖАТЬ,245
246_hiss,HISS,,HISS,ШИПЕТЬ,246
247_body,BODY,1480,BODY,ТЕЛО,247
248_side,SIDE,,SIDE,БОК,248
249_skin,SKIN,2613,SKIN,КОЖА,249
250_hideofgoatsandsheep,HIDE OF GOATS AND SHEEP,,HIDE OF GOATS AND SHEEP,ШКУРА МЕЛКОКОПЫТНОГО,250
251_hideofcows,HIDE OF COWS,,HIDE OF COWS,ШКУРА КРУПНОКОПЫТНОГО,251
252_woolofsheep,WOOL OF SHEEP,964,WOOL OF SHEEP,ШЕРСТЬ ОВЕЧЬЯ,252
253_woolofgoats,WOOL OF GOATS,,WOOL OF GOATS,ШЕРСТЬ КОЗЬЯ,253
254_hairmass,HAIR (MASS),2648,HAIR (MASS),ВОЛОСЫ,254
255_hairsingle,HAIR (SINGLE),,HAIR (SINGLE),ВОЛОС,255
256_malehaircut,MALE HAIRCUT,,MALE HAIRCUT,ПРИЧЕСКА МУЖСКАЯ,256
257_beard,BEARD,678,BEARD,БОРОДА,257
258_moustache,MOUSTACHE,1165,MOUSTACHE,УСЫ,258
259_combofbirds,COMB (OF BIRDS),188,COMB (OF BIRDS),ПТИЧИЙ ГРЕБЕНЬ,259
260_mane,MANE,1918,MANE,ГРИВА ЛОШАДИ,260
261_dandruff,DANDRUFF,576,DANDRUFF,ПЕРХОТЬ,261
262_blood,BLOOD,946,BLOOD,КРОВЬ,262
263_veinartery,"VEIN, ARTERY",1924,"VEIN, ARTERY",КРОВЕНОСНЫЙ СОСУД,263
264_sinew,SINEW,,SINEW,СУХОЖИЛИЕ,264
265_joint,JOINT,999,JOINT,СУСТАВ,265
266_cartilage,CARTILAGE,,CARTILAGE,ХРЯЩ,266
267_gall,GALL,,GALL,ЖЕЛЧЬ,267
268_urine,URINE,1142,URINE,МОЧА,268
269_faeces,FAECES,675,FAECES,КАЛ,269
270_liquidstool,LIQUID STOOL,,LIQUID STOOL,КАЛ ЖИДКИЙ,270
271_dungofcow,DUNG (OF COW),2057,DUNG (OF COW),ПОМЕТ КОРОВЫ,271
272_bone,BONE,1394,BONE,КОСТЬ,272
273_rib,RIB,801,RIB,РЕБРО,273
274_horn,HORN,1393,HORN,РОГ,274
275_tail,TAIL,1220,TAIL,ХВОСТ,275
276_tailfat,TAIL FAT,,TAIL FAT,КУРДЮК,276
277_backanatomical,BACK (ANATOMICAL),1291,BACK (ANATOMICAL),СПИНА,277
278_spine,SPINE,805,SPINE,ПОЗВОНОЧНИК,278
279_head,HEAD,1256,HEAD,ГОЛОВА,279
280_templesideofhead,TEMPLE (SIDE OF HEAD),1604,TEMPLE (SIDE OF HEAD),ВИСОК,280
281_skull,SKULL,1605,SKULL,ЧЕРЕП,281
282_brain,BRAIN,1583,BRAIN,МОЗГ ГОЛОВНОЙ,282
283_marrow,MARROW,,MARROW,МОЗГ КОСТНЫЙ,283
284_face,FACE,1560,FACE,ЛИЦО,284
285_forehead,FOREHEAD,123,FOREHEAD,ЛОБ,285
286_jaw,JAW,798,JAW,ЧЕЛЮСТЬ,286
287_cheek,CHEEK,1730,CHEEK,ЩЕКА,287
288_eye,EYE,1248,EYE,ГЛАЗ,288
289_eyebrow,EYEBROW,1173,EYEBROW,БРОВЬ,289
290_eyelash,EYELASH,1540,EYELASH,РЕСНИЦА,290
291_ear,EAR,1247,EAR,УХО,291
292_earwax,EARWAX,32,EARWAX,УШНАЯ СЕРА,292
293_nose,NOSE,1221,NOSE,НОС,293
294_snivel,SNIVEL,208,SNIVEL,СОПЛИ,294
295_shrimpinnose,SHRIMP (IN NOSE),,SHRIMP (IN NOSE),КОЗЯВКА,295
296_mouthexternal,MOUTH (EXTERNAL),674,MOUTH (EXTERNAL),РОТ (ВНЕШНИЙ),296
297_mouthinternaloralcavity,"MOUTH (INTERNAL, ORAL CAVITY)",2674,"MOUTH (INTERNAL, ORAL CAVITY)",РОТ (ВНУТРЕННИЙ),297
298_beak,BEAK,73,BEAK,КЛЮВ,298
299_lip,LIP,478,LIP,ГУБА,299
300_tongue,TONGUE,1205,TONGUE,ЯЗЫК (ОРГАН),300
301_tooth,TOOTH,1380,TOOTH,ЗУБ,301
302_fangofdog,FANG (OF DOG),,FANG (OF DOG),КЛЫК (СОБАКИ),302
303_molartooth,MOLARTOOTH,1049,MOLARTOOTH,КОРЕННОЙ ЗУБ (МОЛЯР),303
304_gums,GUMS,139,GUMS,ДЁСНЫ,304
305_neck,NECK,1333,NECK,ШЕЯ,305
306_adamsapple,ADAM’S APPLE,802,ADAM’S APPLE,КАДЫК,306
307_chin,CHIN,1510,CHIN,ПОДБОРОДОК,307
308_backofhead,BACK OF HEAD,523,BACK OF HEAD,ЗАТЫЛОК,308
309_throat,THROAT,1346,THROAT,ГОРЛО,309
310_shoulder,SHOULDER,1482,SHOULDER,ПЛЕЧО,310
311_arm,ARM,1673,ARM,РУКА,311
312_hand,HAND,1277,HAND,КИСТЬ РУКИ,312
313_handfulonehand,HANDFUL (ONE HAND),,HANDFUL (ONE HAND),ГОРСТЬ (ОДНОЙ РУКИ),313
314_handfultwohands,HANDFUL (TWO HANDS),,HANDFUL (TWO HANDS),ГОРСТЬ (ДВУХ РУК),314
315_paw,PAW,2965,PAW,ЛАПА,315
316_fist,FIST,1473,FIST,КУЛАК,316
317_armpit,ARMPIT,1886,ARMPIT,ПОДМЫШКА,317
318_elbow,ELBOW,981,ELBOW,ЛОКОТЬ,318
319_palmofhand,PALM OF HAND,1183,PALM OF HAND,ЛАДОНЬ,319
320_finger,FINGER,1303,FINGER,ПАЛЕЦ,320
321_fingernail,FINGERNAIL,1258,FINGERNAIL,НОГОТЬ,321
322_claw,CLAW,72,CLAW,КОГОТЬ,322
323_leg,LEG,1297,LEG,НОГА (ВЫШЕ СТУПНИ),323
324_foot,FOOT,1301,FOOT,НОГА (СТУПНЯ),324
325_thigh,THIGH,800,THIGH,БЕДРО,325
326_shin,SHIN,186,SHIN,ГОЛЕНЬ,326
327_knee,KNEE,1371,KNEE,КОЛЕНО,327
328_heel,HEEL,980,HEEL,ПЯТКА,328
329_footprint,FOOTPRINT,318,FOOTPRINT,СЛЕД (НОГИ),329
