"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"12",,"12",,"ДОЛИНА","VALLEY","sg",,,,"къаттала","qːatːa-la","R(valley)-NMLZ","q͡χʰatːala",,,,,,,,,,,,,"Locative noun",,"itsari"
"12",,"12",,,,"loc.ess","aux",,,"къаттаб","qːatːa-b","R(valley)-CL3[ESS]","q͡χʰatːab",,,,,,,,,,,,,,,"itsari"
"12",,"12",,,,"pl","aux",,,"къаттурби","qːatː-urbi","R(valley)-PL","q͡χʰatːurbi",,,,,,,,,,,,,,,"itsari"
"12",,"12",,,,"loc.lat","aux",,,"къатта","qːatːa","R(valley)[LAT]",,,,,,,,,,,,,,,,"itsari"
"13",,"13",,"ПЕЩЕРА","CAVE","sg",,,,"умхха","umχːa","R(cave)","ʔumχːa",,,,,,,,,,,,,,,"itsari"
"13",,"13",,,,"loc.ess","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
"13",,"13",,,,"pl","aux",,,"умххиппи","umχː-ipːi","R(cave)-PL","ʔumχːipːi",,,,,,,,,,,,,,,"itsari"
"14",,"14",,"ВОДА","WATER","sg",,,,"гьин","hin","R(water)","hin",,,,,,,,,,,,"NPL",,,"itsari"
"14",,"14",,,,"pl","aux",,,"гьинби","hin-bi","R(water)-PL",,,,,,,,,,,,,,,,"itsari"
"15",,"15",,"МОРЕ","SEA",,,,,"урхьхьу ","urxːu","R(sea)","ʔurxːu",,,,,,,,,,,,"NPL",,,"itsari"
"16",,"16",,,,"pl","aux",,,"урхьни","urx-ni","R(sea)-PL",,,,,,,,,,,,,,,,"itsari"
"16",,"16",,"ПЕНА","FOAM",,,,,"хьвярхьвя","xʷaˁrxʷaˁ","R(foam)","xʷaˁrxʷaˁ","пена на реке","foam on a river",,,,,,,,,,"NPL",,,"itsari"
"16",,"16",,,,"pl","aux",,,"хьвярхьвин","xʷaˁrxʷ-in","R(foam)-PL",,,,,,,,,,,,,,,,"itsari"
"17",,"17",,"ОЗЕРО","LAKE","sg",,,,"шар","šar","R(lake)","ʃar",,,,,,,,,,,,,,,"itsari"
"17",,"17",,,,"pl","aux",,,"ширми","šir-mi","R(lake)-PL","ʃirmi",,,,,,,,,,,,,,,"itsari"
"18",,"18",,"РЕКА","RIVER","sg",,,,"аркӀв","arkʼʷ","R(river)","ʔarkʼʷ",,,,,,,,,,,,,,,"itsari"
"18",,"18",,,,"pl","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
"19",,"19",,"РУЧЕЙ","CREEK","sg",,,,"гӀятӀа","ʡaˁtʼa","R(stream)","ʡaˁtʼa","маленькая струя, в т.ч. пота, воды с крыши и т.д.","small stream, including sweat, water from leaking roof etc.",,,,,,,,,,,,,"itsari"
"19",,"19",,,,"pl","aux",,,"гӀятӀиппи","ʡaˁtʼ-ipːi","R(stream)-PL","ʡaˁtʼipːi",,,,,,,,,,,,,,,"itsari"
"20",,"20",,"РОДНИК","SPRING","sg",,,,"кьулла ","qʼulla","R(spring)","qʼulːa",,,,,,,,,,,,,,,"itsari"
"20",,"20",,,,"pl","aux",,,"кьуллиппни","qʼull-ipːni","R(spring)-PL","qʼulːipːni",,,,,,,,,,,,,,,"itsari"
"21",,"21",,"БОЛОТО","SWAMP","sg",,,,"кабурц","kaburc","R(swamp)","kʰaburt͡sʰ",,,,,,,,,,,,,,,"itsari"
"21",,"21",,,,"pl","aux",,,"кабурци","kaburc-i","R(swamp)-PL","kʰaburt͡sʰi",,,,,,,,,,,,,,,"itsari"
"22",,"22",,"ЛЕС","FOREST","sg",,,,"вацӀа","wacʼa","R(forest)","wat͡sʼa",,,,,,,,,,,,,,,"itsari"
"22",,"22",,,,"pl","aux",,,"вацӀурби","wacʼ-urbi","R(forest)-PL","wat͡sʼurbi",,,,,,,,,,,,,,,"itsari"
"23",,"23",,"КАМЕНЬ","STONE","sg",,,,"къаркъа","qːarqːa","R(stone)","qːarqːa",,,,,,,,,,,,,,,"itsari"
"23",,"23",,,,"pl","aux",,,"къиркъин","qːirqː-in","R(stone)-PL","qːirqːin",,,,,,,,,,,,,,,"itsari"
"24",,"24",,"КАМЕШЕК","PEBBLE","sg",,,,"ссема","sːema","R(pebble)","sːema",,,,,,,,,,,,"NSG=NPL",,,"itsari"
"24",,"24",,,,"pl","aux",,,"ссема","sːema","R(pebble)","sːema",,,,,,,,,,,,,,,"itsari"
"25",,"25",,"ГРАВИЙ","GRAVEL",,,,,"гъягъя","ʁaˁʁaˁ","R(gravel)","ʁˁaˁʁˁaˁ",,,,,,,,,,,,"NPL",,,"itsari"
"26",,"26",,"НЕБО","SKY",,,,,"ццаб","cːab","R(sky)","t͡sːab",,,,,,,,,,,,,,,"itsari"
"26",,"26",,,,"pl","aux",,,"ццибри","cːib-ri","R(sky)-PL",,,,,,,,,,,,,,,,"itsari"
"27",,"27",,"СОЛНЦЕ","SUN",,,,,"бар","bar","R(sun)","bar",,,,,,,,,,,,"NSG",,,"itsari"
"28",,"28",,"ЛУНА","MOON",,,,,"бацц ","bacː","R(moon)","bat͡sː",,,,,,,,,,,,"NSG",,,"itsari"
"29",,"29",,"ЗВЕЗДА","STAR","sg",,,,"зири","ziri","R(star)","ziri",,,,,,,,,,,,,,,"itsari"
"29",,"29",,,,"pl","aux",,,"зирми","zir-mi","R(star)-PL","zirmi",,,,,,,,,,,,,,,"itsari"
"30",,"30",,"МОЛНИЯ","LIGHTNING","sg",,,,"лямцӀ","laˁmcʼ","R(lightning)","laˁmt͡sʼ",,,,,,,,,,,,,,,"itsari"
"30",,"30",,,,"pl","aux",,,"лиӀмцӀри","liˁmcʼ-ri","R(lightning)-PL","lɪˁmt͡sʼri",,,,,,,,,,,,,,,"itsari"
"31",,"31",,"ГРОМ","THUNDER",,,,,"къукъу ","qːuqːu","R(thunder)","qːuqːu",,,,,,,,,,,,"NPL",,,"itsari"
"32",,"32",,"РАДУГА","RAINBOW",,,,,"цӀиххяб","cʼiχːaˁb","R(rainbow)","t͡sʼiχːaˁb",,,,,,,,,,,,,,,"itsari"
"33",,"33",,"СВЕТ","LIGHT",,,,,"шшала","šːala","R(light)","ʃːala",,,,,,,,,,,,"NPL",,,"itsari"
"33",,"33",,,,"pl","aux",,,"шшилми","šːil-mi","R(light)-PL",,,,,,,,,,,,,,"Refers to many lights",,"itsari"
"34",,"34",,"ТЕНЬ","SHADOW","sg",,,,"пяхтти","paˁχtːi","R(shadow)","pʰaˁχtːi",,,,,,,,,,,,,,,"itsari"
"34",,"34",,,,"pl","aux",,,"пяхттурби","paˁχtː-urbi","R(shadow)-PL","pʰaˁχtːurbi",,,,,,,,,,,,,"Dubious form",,"itsari"
"35",,"35",,"РОСА","DEW",,,,,"эрза","erza","R(dew)","ʔerza",,,,,,,,,,,,"NSG=NPL",,,"itsari"
"35",,"35",,,,"pl","aux",,,"эрзин","erz-in","R(dew)-PL",,,,,,,,,,,,,,"Several instances of dew on multiple days",,"itsari"
"36",,"36",,"ВЕТЕР","WIND",,,,,"чӀан","čʼan","R(wind)","t͡ʃʼan",,,,,,,,,,,,,,,"itsari"
"37",,"37",,"ОБЛАКО","CLOUD","sg",,,,"хъир","qir","R(cloud)","q͡χʰir",,,,,,,,,,,,,,,"itsari"
"37",,"37",,,,"pl","aux",,,"хъирби","qir-bi","R(cloud)-PL","q͡χʰirbi",,,,,,,,,,,,,,,"itsari"
"38",,"38",,"ТУМАН","FOG",,,,,"дирихьв","dirixʷ","R(fog)","dirixʷ",,,,,,,,,,,,,,,"itsari"
"39",,"39",,"ДОЖДЬ","RAIN",,,,,"марка","marka","R(rain)","markʰa",,,,,,,,,,,,,,,"itsari"
"40",,"40",,"СНЕГ","SNOW",,,,,"маркни","mark-ni","R(rain)-PL","markʰni",,,,,,,,,,,,,,,"itsari"
"41",,"41",,"ГРАД","HAIL",,,,,"хъябхъяла марка","qaˁbqaˁ-la marka","R(hail)-GEN R(rain)","q͡χˁaˁbq͡χˁala markʰa",,,,,,,,,,,,,"The word <i>qaˁbqaˁ</i> is never used outside of this expression",,"itsari"
"42",,"42",,"ИДТИ (О ДОЖДЕ)","RAIN","ipfv",,,,"бусар","b-us-ar","CL3-R(rain)-HAB","busar",,,,,,,,,,,,,"No pfv. stem","<strong>check hab. form</strong>","itsari"
"43",,"43",,"ЛЁД","ICE",,,,,"мейг","mejg","R(ice)","mejg",,,,,,,,,,,,,,,"itsari"
"43",,"43",,,,"pl","aux",,,"мейгби","mejg-bi","R(ice)-PL",,,,,,,,,,,,,,,,"itsari"
"44",,"44",,"ИНЕЙ","FROST",,,,,"шах","šaχ","R(frost)","ʃaχ",,,,,,,,,,,,,"Sg. tantum",,"itsari"
"45",,"45",,"МЁРЗНУТЬ","FREEZE","pfv",,,,"?",,,,,,,,,,,,,,,,,"<strong>Rasul’s list has the wrong meaning</strong>","itsari"
"45",,"45",,,,"ipfv","aux",,,"?",,,,,,,,,,,,,,,,,,"itsari"
