"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"24",,"24",,"КАМЕШЕК","PEBBLE","sg",,,,"чӀичӀом",,,,,,,,,,,,,,,,,,"zilo"
"24",,"24",,,,"pl","aux",,,"чӀичӀомил",,,,,,,,,,,,,,,,,,"zilo"
"25",,"25",,"ГРАВИЙ","GRAVEL",,,,,"гъогъу",,,,,,,,,,,,,,,,,,"zilo"
"26",,"26",,"НЕБО","SKY",,,,,"решин",,,,,,,,,,,,,,,,,,"zilo"
"27",,"27",,"СОЛНЦЕ","SUN",,,,,"милъи",,,,,,,,,,,,,,,,,,"zilo"
"28",,"28",,"ЛУНА","MOON",,,,,"порцӀи",,,,,,,,,,,,,,,,,,"zilo"
"29",,"29",,"ЗВЕЗДА","STAR","sg",,,,"цӀцӀа",,,,,,,,,,,,,,,,,,"zilo"
"29",,"29",,,,"pl","aux",,,"цӀцӀалил",,,,,,,,,,,,,,,,,,"zilo"
"30",,"30",,"МОЛНИЯ","LIGHTNING","sg",,,,"пири",,,,,,,,,,,,,,,,,,"zilo"
"30",,"30",,,,"pl","aux",,,"пирил",,,,,,,,,,,,,,,,,,"zilo"
"31",,"31",,"ГРОМ","THUNDER",,,,,"хухуди",,,,"греметь (о громе)","to thunder",,,,,,,,,,,"A verb",,"zilo"
"32",,"32",,"РАДУГА","RAINBOW",,,,,"соруди йошиква йичоний",,,,"лиса девушку берет","the fox takes the girl",,,,,,,,,,,,,"zilo"
"33",,"33",,"СВЕТ","LIGHT",,,,,"канорлъир",,,,,,,,,,,,,,,,,,"zilo"
"34",,"34",,"ТЕНЬ","SHADOW","sg",,,,"анччу",,,,,,,,,,,,,,,,,,"zilo"
"34",,"34",,,,"pl","aux",,,"анччадул",,,,,,,,,,,,,,,,,,"zilo"
"35",,"35",,"РОСА","DEW",,,,,"шиб",,,,,,,,,,,,,,,,,,"zilo"
"36",,"36",,"ВЕТЕР","WIND",,,,,"мочи",,,,,,,,,,,,,,,,,,"zilo"
"37",,"37",,"ОБЛАКО","CLOUD","sg",,,,"гьиро",,,,,,,,,,,,,,,,,,"zilo"
"37",,"37",,,,"pl","aux",,,"гьиродул",,,,,,,,,,,,,,,,,,"zilo"
"38",,"38",,"ТУМАН","FOG",,,,,"гьиро",,,,,,,,,,,,,,,,,,"zilo"
"39","29","39",,"ДОЖДЬ","RAIN",,,,,"цӀцӀа",,,,,,,,,,,,,,,,,,"zilo"
"40",,"40",,"СНЕГ","SNOW",,,,,"анзи",,,,,,,,,,,,,,,,,,"zilo"
"41",,"41",,"ГРАД","HAIL",,,,,"шен",,,,,,,,,,,,,,,,,,"zilo"
"42",,"42",,"ИДТИ (О ДОЖДЕ)","RAIN (V)",,,,,"релӀи",,,,,,,,,,,,,,,,,,"zilo"
"43",,"43",,"ЛЁД","ICE",,,,,"зар",,,,,,,,,,,,,,,,,,"zilo"
"44",,"44",,"ИНЕЙ","FROST",,,,,"цӀикъул",,,,,,,,,,,,,,,,,,"zilo"
"45",,"45",,"МЁРЗНУТЬ","FREEZE",,,,,"зар хуй",,,,,,,,,,,,,,,,,,"zilo"
"46",,"46",,"ТАЯТЬ","MELT (INTR)",,,,,"руцӀо",,,,,,,,,,,,,,,,,,"zilo"
"47","46","47",,"РАСТАПЛИВАТЬ","MELT (TR)",,,,,"руцӀо",,,,,,,,,,,,,,,,,,"zilo"
"48",,"48",,"ОГОНЬ","FIRE",,,,,"цӀа",,,,,,,,,,,,,,,,,,"zilo"
"49",,"49",,"ДЫМ","SMOKE",,,,,"кӀвей",,,,,,,,,,,,,,,,,,"zilo"
"50",,"50",,"ЗОЛА","ASH",,,,,"кье",,,,,,,,,,,,,,,,,,"zilo"
"51",,"51",,"ГОРЕТЬ","BURN (INTR)",,,,,"рико",,,,,,,,,,,,,,,,,,"zilo"
"52",,"52",,"ЖЕЧЬ","BURN (TR)",,,,,"цӀато",,,,,,,,,,,,,,,,,,"zilo"
"53","52","53",,"ЗАГОРАТЬСЯ","START BURNING",,,,,"цӀато",,,,,,,,,,,,,,,,,"strange colexification: maybe not ‘burn (tr.)’ but ‘set alight’?","zilo"
"54",,"54",,"ЗАЖИГАТЬ","LIGHT",,,,,"р=иколъи",,,,,,,,,,,,,,,,,,"zilo"
"55","54","55",,"ГАСНУТЬ","BECOME EXTINGUISHED",,,,,"р=ичолъи",,,,,,,,,,,,,,,,,,"zilo"
"56","54","56",,"ТУШИТЬ","EXTINGUISH",,,,,"р=ичолъи",,,,,,,,,,,,,,,,,,"zilo"
"57",,"57",,"ОСТЫВАТЬ","BECOME COLD",,,,,"зар холъи",,,,,,,,,,,,,,,,,,"zilo"
"58",,"58",,"ДРОВА","FIREWOOD",,,,,"лъуди",,,,,,,,,,,,,,,,,,"zilo"
"59",,"59",,"УГОЛЬ","CHARCOAL",,,,,"гьабу",,,,,,,,,,,,,,,,,,"zilo"
"60","59","60",,"УГОЛЁК","CHARCOAL PIECE","sg",,,,"гьабу",,,,,,,,,,,,,,,,,,"zilo"
"60",,"60",,,,"pl","aux",,,"гьабодул",,,,,,,,,,,,,,,,,,"zilo"
"61","59","61",,"ГОРЯЩИЙ УГОЛЬ","EMBERS",,,,,"гьабу",,,,,,,,,,,,,,,,,,"zilo"
"62",,"62",,"КИЗЯК","DUNG FUEL","sg",,,,"цӀипила",,,,,,,,,,,,,,,,,,"zilo"
"62",,"62",,,,"pl","aux",,,"цӀипилдол",,,,,,,,,,,,,,,,,,"zilo"
"63",,"63",,"ЧЕЛОВЕК","PERSON","sg",,,,"гьеква",,,,,,,,,,,,,,,,,,"zilo"
"63",,"63",,,,"pl","aux",,,"адам",,,,,,,,,,,,,,,,,,"zilo"
"64","63","64",,"МУЖЧИНА","MAN","sg",,,,"гьеква",,,,,,,,,,,,,,,,,,"zilo"
"64",,"64",,,,"pl","aux",,,"адам",,,,,,,,,,,,,,,,,,"zilo"
"65",,"65",,"ЖЕНЩИНА","WOMAN","sg",,,,"йошиква",,,,,,,,,,,,,,,,,,"zilo"
"65",,"65",,,,"pl","aux",,,"йошул",,,,,,,,,,,,,,,,,,"zilo"
"66",,"66",,"САМЕЦ","MALE ANIMAL","sg",,"opt",,"кӀунтӀа",,,,,,,,,,,,,,,,,,"zilo"
"66",,"66",,,,"pl","aux","opt",,"кӀунтӀол",,,,,,,,,,,,,,,,,,"zilo"
"67",,"67",,"САМКА","FEMALE ANIMAL","sg",,"opt",,"гьорчӀи",,,,,,,,,,,,,,,,,,"zilo"
"67",,"67",,,,"pl","aux","opt",,"гьорчӀол",,,,,,,,,,,,,,,,,,"zilo"
"68",,"68",,"МАЛЬЧИК","BOY","sg",,,,"вошо",,,,,,,,,,,,,,,,,,"zilo"
"68",,"68",,,,"pl","aux",,,"вошул",,,,,,,,,,,,,,,,,,"zilo"
"2002","70","68",,"МАЛЬЧИК","BOY","sg",,,"x","мочӀи",,,,,,,,,,,,,,,,,"<strong>exclude?</strong>","zilo"
"2002",,"68",,,,"pl","aux",,"x","мочӀил",,,,,,,,,,,,,,,,,,"zilo"
"69",,"69",,"ДЕВОЧКА","GIRL","sg",,,,"йоши",,,,,,,,,,,,,,,,,,"zilo"
